"COUNTRY","Country","DAGEGR","Age groups","DSEX","Gender","DSTATUS","Status of population","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","900000","All ages","1","Males","90","All population","2002","2002",9753133,,
"AUS","Australia","900000","All ages","1","Males","90","All population","2003","2003",9873447,,
"AUS","Australia","900000","All ages","1","Males","90","All population","2004","2004",9990513,,
"AUS","Australia","900000","All ages","1","Males","90","All population","2005","2005",10121438,,
"AUS","Australia","900000","All ages","1","Males","90","All population","2006","2006",10257418,,
"AUS","Australia","900000","All ages","1","Males","90","All population","2007","2007",10444622,,
"AUS","Australia","900000","All ages","1","Males","90","All population","2008","2008",10660917,,
"AUS","Australia","900000","All ages","1","Males","90","All population","2009","2009",10888385,,
"AUS","Australia","900000","All ages","1","Males","90","All population","2010","2010",11124254,,
"AUS","Australia","900000","All ages","1","Males","90","All population","2011","2011",11260747,,
"AUS","Australia","900000","All ages","1","Males","90","All population","2012","2012",11280804,,
"AUS","Australia","900000","All ages","2","Females","90","All population","2002","2002",9887846,,
"AUS","Australia","900000","All ages","2","Females","90","All population","2003","2003",9999199,,
"AUS","Australia","900000","All ages","2","Females","90","All population","2004","2004",10100991,,
"AUS","Australia","900000","All ages","2","Females","90","All population","2005","2005",10218321,,
"AUS","Australia","900000","All ages","2","Females","90","All population","2006","2006",10348070,,
"AUS","Australia","900000","All ages","2","Females","90","All population","2007","2007",10570420,,
"AUS","Australia","900000","All ages","2","Females","90","All population","2008","2008",10770864,,
"AUS","Australia","900000","All ages","2","Females","90","All population","2009","2009",10986535,,
"AUS","Australia","900000","All ages","2","Females","90","All population","2010","2010",11218144,,
"AUS","Australia","900000","All ages","2","Females","90","All population","2011","2011",11359807,,
"AUS","Australia","900000","All ages","2","Females","90","All population","2012","2012",11402769,,
"AUT","Austria","900000","All ages","1","Males","90","All population","2002","2002",3959567,,
"AUT","Austria","900000","All ages","1","Males","90","All population","2003","2003",3909120,,
"AUT","Austria","900000","All ages","1","Males","90","All population","2004","2004",3949825,,
"AUT","Austria","900000","All ages","1","Males","90","All population","2005","2005",3986296,,
"AUT","Austria","900000","All ages","1","Males","90","All population","2006","2006",4019354,,
"AUT","Austria","900000","All ages","1","Males","90","All population","2007","2007",4037171,,
"AUT","Austria","900000","All ages","1","Males","90","All population","2008","2008",4054214,,
"AUT","Austria","900000","All ages","1","Males","90","All population","2009","2009",4068047,,
"AUT","Austria","900000","All ages","1","Males","90","All population","2010","2010",4079093,,
"AUT","Austria","900000","All ages","1","Males","90","All population","2011","2011",4095337,,
"AUT","Austria","900000","All ages","1","Males","90","All population","2012","2012",4118035,,
"AUT","Austria","900000","All ages","2","Females","90","All population","2002","2002",4179743,,
"AUT","Austria","900000","All ages","2","Females","90","All population","2003","2003",4158169,,
"AUT","Austria","900000","All ages","2","Females","90","All population","2004","2004",4190297,,
"AUT","Austria","900000","All ages","2","Females","90","All population","2005","2005",4220228,,
"AUT","Austria","900000","All ages","2","Females","90","All population","2006","2006",4246571,,
"AUT","Austria","900000","All ages","2","Females","90","All population","2007","2007",4261752,,
"AUT","Austria","900000","All ages","2","Females","90","All population","2008","2008",4277716,,
"AUT","Austria","900000","All ages","2","Females","90","All population","2009","2009",4287213,,
"AUT","Austria","900000","All ages","2","Females","90","All population","2010","2010",4296197,,
"AUT","Austria","900000","All ages","2","Females","90","All population","2011","2011",4308915,,
"AUT","Austria","900000","All ages","2","Females","90","All population","2012","2012",4324983,,
"BEL","Belgium","900000","All ages","1","Males","90","All population","2002","2002",5042288,,
"BEL","Belgium","900000","All ages","1","Males","90","All population","2003","2003",5066885,,
"BEL","Belgium","900000","All ages","1","Males","90","All population","2004","2004",5087176,,
"BEL","Belgium","900000","All ages","1","Males","90","All population","2005","2005",5111325,,
"BEL","Belgium","900000","All ages","1","Males","90","All population","2006","2006",5143821,,
"BEL","Belgium","900000","All ages","1","Males","90","All population","2007","2007",5181408,,
"BEL","Belgium","900000","All ages","1","Males","90","All population","2008","2008",5224309,,
"BEL","Belgium","900000","All ages","1","Males","90","All population","2009","2009",5268651,,
"BEL","Belgium","900000","All ages","1","Males","90","All population","2010","2010",5312221,,
"BEL","Belgium","900000","All ages","1","Males","90","All population","2011","2011",5370234,,
"BEL","Belgium","900000","All ages","1","Males","90","All population","2012","2012",5413801,,
"BEL","Belgium","900000","All ages","2","Females","90","All population","2002","2002",5267437,,
"BEL","Belgium","900000","All ages","2","Females","90","All population","2003","2003",5288959,,
"BEL","Belgium","900000","All ages","2","Females","90","All population","2004","2004",5309245,,
"BEL","Belgium","900000","All ages","2","Females","90","All population","2005","2005",5334527,,
"BEL","Belgium","900000","All ages","2","Females","90","All population","2006","2006",5367561,,
"BEL","Belgium","900000","All ages","2","Females","90","All population","2007","2007",5403126,,
"BEL","Belgium","900000","All ages","2","Females","90","All population","2008","2008",5442557,,
"BEL","Belgium","900000","All ages","2","Females","90","All population","2009","2009",5484429,,
"BEL","Belgium","900000","All ages","2","Females","90","All population","2010","2010",5527684,,
"BEL","Belgium","900000","All ages","2","Females","90","All population","2011","2011",4996609,,
"BEL","Belgium","900000","All ages","2","Females","90","All population","2012","2012",5622157,,
"CAN","Canada","900000","All ages","1","Males","90","All population","2003","2003",15532438,,
"CAN","Canada","900000","All ages","1","Males","90","All population","2004","2004",15538572,,
"CAN","Canada","900000","All ages","1","Males","90","All population","2005","2005",15842787,,
"CAN","Canada","900000","All ages","1","Males","90","All population","2006","2006",15995582,,
"CAN","Canada","900000","All ages","1","Males","90","All population","2007","2007",16170723,,
"CAN","Canada","900000","All ages","1","Males","90","All population","2008","2008",16326141,,
"CAN","Canada","900000","All ages","1","Males","90","All population","2009","2009",16524504,,
"CAN","Canada","900000","All ages","1","Males","90","All population","2010","2010",16526676,,
"CAN","Canada","900000","All ages","1","Males","90","All population","2011","2011",16826122.5,,
"CAN","Canada","900000","All ages","1","Males","90","All population","2012","2012",17113541,,
"CAN","Canada","900000","All ages","2","Females","90","All population","2003","2003",15829173,,
"CAN","Canada","900000","All ages","2","Females","90","All population","2004","2004",15834015,,
"CAN","Canada","900000","All ages","2","Females","90","All population","2005","2005",16146667,,
"CAN","Canada","900000","All ages","2","Females","90","All population","2006","2006",16303914,,
"CAN","Canada","900000","All ages","2","Females","90","All population","2007","2007",16478759,,
"CAN","Canada","900000","All ages","2","Females","90","All population","2008","2008",16601231,,
"CAN","Canada","900000","All ages","2","Females","90","All population","2009","2009",16802833,,
"CAN","Canada","900000","All ages","2","Females","90","All population","2010","2010",16807738.5,,
"CAN","Canada","900000","All ages","2","Females","90","All population","2011","2011",17101813,,
"CAN","Canada","900000","All ages","2","Females","90","All population","2012","2012",17379104.5,,
"CZE","Czech Republic","900000","All ages","1","Males","90","All population","2002","2002",5005508,,
